event_id,state,radd_only,area_ha,clear_post_radd_any,s1_post_radd_any,interior_ang_deg,ring_50_150m_ang_deg,tau_p90,offset_suspect
E433,AC,0,7.615,14.935,32.258,10.777,11.827,11.218,True
E511,PA,0,12.099,6.4,7.2,11.9,15.553,12.73,True
E869,PA,0,19.499,11.806,12.355,12.701,13.345,12.73,True
E1332,PA,0,15.814,62.613,30.613,9.67,27.539,12.73,True
E1349,PA,0,17.232,15.0,14.467,11.068,22.59,12.73,True
E1416,PA,0,11.438,3.161,14.065,11.525,11.09,12.73,False
E1417,PA,0,12.371,0.933,4.8,12.451,16.665,12.73,True
E1451,PA,0,14.564,4.645,5.645,11.916,20.57,12.73,True
E1524,MT,0,27.525,26.742,37.484,11.804,37.915,13.169,True
E1598,PA,0,6.787,10.267,17.833,9.857,12.161,12.73,False
E1627,PA,0,16.505,15.129,11.194,10.774,17.869,12.73,True
E1654,PA,0,6.719,21.419,15.71,10.285,9.506,12.73,False
E1696,PA,0,10.411,0.0,0.0,12.462,18.407,12.73,True
E1963,RO,0,8.782,3.452,11.419,10.734,15.587,11.222,True
E1997,MT,0,10.631,22.8,30.333,10.972,8.658,13.169,False
E2006,MT,0,20.158,11.516,22.097,12.679,9.706,13.169,False
E2030,AM,0,1.109,10.133,15.167,7.483,7.645,10.204,False
E2044,AM,0,12.18,5.7,14.933,7.783,5.977,10.204,False
E2086,RR,0,6.567,5.333,22.867,19.384,18.323,19.539,False
E2120,AM,0,28.206,7.233,16.167,9.007,8.671,10.204,False
E2679,AM,0,22.921,4.533,21.067,9.436,8.613,10.204,False
E2737,AM,0,28.855,20.871,30.258,7.945,15.564,10.204,True
E3015,RO,0,6.796,19.1,28.3,9.366,13.689,11.222,True
E3287,RO,0,8.182,21.355,29.774,10.155,17.65,11.222,True
E3665,PA,0,6.933,10.742,20.742,12.698,14.333,12.73,True
E3747,PA,0,1.346,3.484,4.484,9.246,13.337,12.73,True
E3753,PA,0,14.666,1.867,6.167,11.764,11.933,12.73,False
E3770,MT,0,44.861,14.8,14.0,12.371,8.391,13.169,False
E3806,AM,0,6.652,10.467,8.467,8.18,13.176,10.204,True
E3863,PA,0,23.729,6.0,7.667,12.394,13.794,12.73,True
E3883,PA,0,24.533,7.645,9.387,12.522,12.06,12.73,False
E4106,PA,0,22.69,8.133,8.533,12.272,10.02,12.73,False
E4133,MA,0,7.507,4.0,5.29,16.993,15.836,17.275,False
E4193,MT,0,11.686,54.4,32.667,11.814,12.196,13.169,False
E4225,PA,0,17.658,2.733,14.833,11.964,8.424,12.73,False
E4327,PA,0,10.728,14.194,23.774,11.824,11.723,12.73,False
E4329,PA,0,35.063,8.1,18.833,11.029,10.194,12.73,False
E4402,PA,0,68.023,7.645,5.645,11.193,9.152,12.73,False
E4431,PA,0,7.41,6.0,7.667,12.252,12.34,12.73,False
E4453,PA,0,10.962,2.548,7.323,12.228,11.394,12.73,False
E4515,PA,0,20.631,2.0,4.484,11.639,16.072,12.73,True
E4555,MT,0,14.012,8.7,16.167,12.515,10.99,13.169,False
E4564,MT,0,14.159,5.355,10.097,11.981,12.341,13.169,False
E4627,PA,0,15.852,4.0,7.667,11.897,9.672,12.73,False
E4638,PA,0,11.957,6.194,5.645,12.042,10.834,12.73,False
E4639,PA,0,18.338,6.194,5.645,11.887,10.403,12.73,False
E4658,PA,0,13.637,3.0,4.484,11.898,16.837,12.73,True
E4692,AC,0,6.653,24.067,51.467,8.632,17.261,11.218,True
E4746,PA,0,16.437,0.0,0.0,11.771,11.744,12.73,False
E4777,PA,0,14.634,8.194,12.29,11.59,11.39,12.73,False
E4796,PA,0,18.787,13.0,7.667,12.18,10.531,12.73,False
E4837,PA,0,13.787,3.419,6.419,11.564,11.033,12.73,False
E4917,PA,0,7.359,9.935,6.452,12.392,12.342,12.73,False
E4921,PA,0,9.969,11.935,6.452,12.227,13.712,12.73,True
E4966,AM,0,6.851,4.533,20.333,9.661,9.501,10.204,False
E5027,RO,0,33.283,4.667,44.0,7.976,9.065,11.222,False
E5040,AM,0,10.063,8.7,16.5,9.783,9.218,10.204,False
E5052,RO,0,15.163,17.71,40.613,9.911,12.075,11.222,True
E5059,RO,0,8.724,15.742,34.419,10.03,8.913,11.222,False
E5087,RO,0,14.739,5.5,22.7,11.016,5.993,11.222,False
E5090,RO,0,10.727,2.548,18.129,9.089,6.551,11.222,False
E5107,AM,0,26.193,21.6,16.5,9.041,6.869,10.204,False
E5207,MT,0,27.458,8.167,16.167,12.361,7.93,13.169,False
E5230,MT,0,88.524,25.6,34.833,9.054,5.599,13.169,False
E5235,MT,0,12.077,0.0,0.0,12.295,11.075,13.169,False
E5242,MT,0,13.399,8.677,23.065,11.779,19.219,13.169,True
E5250,AM,0,77.187,24.935,26.161,10.084,7.327,10.204,False
E5268,RR,0,7.274,8.4,16.167,17.432,15.153,19.539,False
E5287,PA,0,7.329,10.806,26.677,11.986,14.986,12.73,True
E5289,PA,0,16.068,5.667,17.833,11.23,19.978,12.73,True
E5322,PA,0,15.614,3.097,5.645,12.527,11.584,12.73,False
E5329,PA,0,234.634,8.333,7.667,11.207,13.35,12.73,True
E5360,PA,0,22.527,15.161,10.548,10.892,11.897,12.73,False
E5428,PA,0,7.128,2.2,15.4,10.963,11.255,12.73,False
E5444,PA,0,15.289,1.871,14.355,11.784,9.075,12.73,False
E5466,PA,0,44.297,22.2,31.0,11.918,12.621,12.73,False
E5535,AM,0,22.222,0.0,0.0,9.32,8.655,10.204,False
E5537,AM,0,20.336,0.71,15.484,8.201,7.711,10.204,False
E5624,MT,0,23.876,19.742,23.065,13.029,14.271,13.169,True
E5634,MT,0,14.906,21.774,30.806,12.048,9.04,13.169,False
E5636,MT,0,15.561,17.355,26.161,12.083,18.557,13.169,True
E5658,AM,0,45.445,9.6,7.2,7.514,4.936,10.204,False
E5665,AM,0,10.97,12.6,7.2,7.659,7.477,10.204,False
E5695,PA,0,6.519,1.774,15.419,12.08,12.032,12.73,False
E5703,RR,0,9.404,8.742,19.968,18.612,16.379,19.539,False
E5715,RR,0,6.376,5.613,20.097,17.224,11.575,19.539,False
E5716,RR,0,12.967,5.355,18.742,18.85,12.801,19.539,False
E5719,RR,0,11.47,12.903,23.839,16.659,15.025,19.539,False
E5723,RR,0,7.871,5.677,25.774,16.735,10.54,19.539,False
E5732,RR,0,7.976,6.4,21.8,16.41,10.353,19.539,False
E5733,RR,0,7.68,6.333,21.533,13.415,10.03,19.539,False
E5746,PA,0,7.442,10.167,8.5,9.556,7.463,12.73,False
E5788,PA,0,10.084,2.0,5.645,11.034,10.14,12.73,False
E5798,PA,0,16.735,3.323,4.484,10.887,13.747,12.73,True
E5830,PA,0,21.869,2.129,6.419,8.788,8.738,12.73,False
E5853,PA,0,13.1,8.0,5.645,12.049,18.405,12.73,True
E5861,PA,0,30.033,13.0,7.667,12.048,12.123,12.73,False
E5864,PA,0,6.737,8.645,4.484,11.889,11.464,12.73,False
E5873,PA,0,19.782,5.333,7.667,11.88,16.792,12.73,True
E5874,PA,0,24.278,6.667,7.667,10.444,9.989,12.73,False
E5879,PA,0,8.93,2.161,4.484,12.021,12.591,12.73,False
E5885,PA,0,26.047,3.667,7.667,10.727,8.718,12.73,False
E5892,PA,0,10.744,2.645,5.645,12.02,10.159,12.73,False
E5932,AM,0,9.314,6.733,18.333,7.645,10.105,10.204,False
E6004,RO,0,13.531,8.226,19.968,11.021,11.899,11.222,True
E6031,PA,0,65.955,10.452,11.71,11.095,12.694,12.73,False
E6034,PA,0,19.054,7.968,11.71,12.11,15.181,12.73,True
E6035,PA,0,35.688,57.067,37.167,12.012,11.933,12.73,False
E6053,PA,0,27.572,2.0,6.419,11.611,16.294,12.73,True
E6055,PA,0,13.51,0.0,5.645,9.777,9.914,12.73,False
E6073,PA,0,23.233,4.129,6.419,11.598,13.676,12.73,True
E6092,PA,0,13.706,8.742,9.581,12.3,8.173,12.73,False
E6097,PA,0,23.075,8.677,13.677,12.605,9.002,12.73,False
E6104,PA,0,14.233,9.133,17.733,11.132,13.389,12.73,True
E6127,PA,0,33.588,2.0,6.419,12.31,10.253,12.73,False
E6130,PA,0,7.245,2.645,5.645,11.759,11.317,12.73,False
E6158,PA,0,16.158,7.677,6.419,12.22,10.062,12.73,False
E6212,AM,0,118.984,4.6,7.2,8.874,6.297,10.204,False
E6242,PA,0,13.511,28.065,13.355,12.223,20.021,12.73,True
E6260,PA,0,9.54,6.0,5.645,12.687,9.066,12.73,False
E6265,PA,0,14.205,7.71,11.71,11.371,12.8,12.73,True
E6268,PA,0,39.508,3.548,5.645,10.285,9.889,12.73,False
E6275,PA,0,31.191,20.333,41.467,10.789,9.001,12.73,False
E6295,PA,0,11.086,0.968,5.645,12.644,12.995,12.73,True
E6317,AM,0,13.269,2.516,10.323,10.033,11.809,10.204,True
E6318,MT,0,7.482,2.677,10.097,12.339,10.988,13.169,False
E6331,PA,0,16.438,5.677,5.226,12.075,7.078,12.73,False
E6359,PA,0,49.656,3.267,14.667,11.401,9.734,12.73,False
E6366,MT,0,16.806,0.0,5.0,13.002,12.519,13.169,False
E6372,RO,0,9.651,3.3,22.7,11.061,9.309,11.222,False
E6374,RO,0,9.098,9.677,29.774,11.204,10.076,11.222,False
E6378,PA,0,14.591,3.839,5.226,11.547,9.96,12.73,False
E6384,PA,0,21.263,3.226,5.226,11.311,8.041,12.73,False
E6390,AM,0,27.781,2.677,4.452,8.426,7.151,10.204,False
E6402,PA,0,10.187,2.581,22.806,12.196,11.346,12.73,False
E6403,PA,0,12.155,71.194,25.71,12.232,11.887,12.73,False
E6406,PA,0,11.651,10.097,10.548,11.181,9.915,12.73,False
E6407,PA,0,11.05,12.516,11.71,11.619,11.822,12.73,False
E6410,PA,0,29.041,5.097,5.645,12.368,9.934,12.73,False
E6411,PA,0,35.792,7.452,11.71,11.27,12.301,12.73,False
E6412,PA,0,64.706,8.742,10.742,11.037,13.758,12.73,True
E6415,PA,0,110.436,38.667,29.333,11.338,13.895,12.73,True
E6416,PA,0,42.407,6.71,11.71,10.522,14.838,12.73,True
E6429,PA,0,9.094,16.258,28.323,12.322,11.758,12.73,False
E6432,PA,0,11.055,2.933,12.767,8.649,8.445,12.73,False
E6435,PA,0,13.92,3.323,4.484,11.317,11.844,12.73,False
E6458,PA,0,10.474,3.839,6.419,11.861,11.152,12.73,False
E6466,PA,0,6.716,3.161,4.484,10.937,10.658,12.73,False
E6475,PA,0,16.046,3.548,5.645,11.056,13.529,12.73,True
E6494,PA,0,7.041,2.419,13.548,12.336,9.757,12.73,False
E6499,PA,0,27.639,3.419,13.548,12.314,11.995,12.73,False
E6509,PA,0,19.44,5.29,5.645,11.407,10.434,12.73,False
E6511,PA,0,92.112,12.806,12.355,12.34,17.141,12.73,True
E6524,PA,0,15.994,14.6,7.2,12.267,13.382,12.73,True
E6526,PA,0,19.834,2.645,5.645,11.853,10.809,12.73,False
E6547,PA,0,51.065,3.129,6.419,11.785,9.137,12.73,False
E6548,PA,0,17.089,2.968,5.645,12.283,11.968,12.73,False
E6557,RO,0,100.427,1.516,18.129,9.102,10.676,11.222,False
E6560,AC,0,11.554,7.333,37.6,8.08,12.102,11.218,True
E6563,AM,0,48.916,16.71,27.258,9.854,20.354,10.204,True
E6575,AC,0,13.827,26.333,75.6,10.047,16.93,11.218,True
E6577,RO,0,99.9,23.467,86.667,7.977,8.743,11.222,False
E6578,RO,0,19.314,3.645,31.839,6.229,10.581,11.222,False
E6581,RO,0,20.044,23.467,46.4,7.458,14.56,11.222,True
E6584,RO,0,17.943,4.933,12.133,9.961,16.105,11.222,True
E6586,AM,0,100.361,27.0,65.29,8.138,12.171,10.204,True
E6589,RO,0,28.365,6.4,22.7,10.76,7.603,11.222,False
E6590,AM,0,113.986,2.097,16.839,6.628,8.743,10.204,False
E6593,AM,0,292.5,5.333,22.667,8.794,11.169,10.204,True
E6595,RO,0,15.653,6.839,19.677,10.307,6.023,11.222,False
E6600,AM,0,82.129,34.933,30.933,9.604,12.112,10.204,True
E6605,AM,0,15.332,6.742,19.548,9.997,17.553,10.204,True
E6606,AM,0,61.631,7.667,25.867,9.821,12.558,10.204,True
E6615,RO,0,68.649,32.0,55.484,10.261,10.874,11.222,False
E6624,RO,0,12.41,52.0,59.0,8.447,16.013,11.222,True
E6631,AM,0,17.631,16.452,27.065,9.499,10.438,10.204,True
E6635,RO,0,15.919,3.355,25.774,11.185,14.134,11.222,True
E6643,RO,0,12.906,3.258,12.258,10.113,10.916,11.222,False
E6644,RO,0,34.72,17.677,27.065,10.835,8.95,11.222,False
E6646,RO,0,33.122,7.355,21.129,10.544,11.855,11.222,True
E6647,AM,0,52.045,28.097,38.742,10.178,12.254,10.204,True
E6658,MT,0,34.38,21.419,56.516,12.736,18.939,13.169,True
E6659,MT,0,6.602,9.226,12.258,13.131,11.888,13.169,False
E6661,AM,0,117.369,6.4,16.167,7.615,7.551,10.204,False
E6662,MT,0,46.031,9.129,21.129,11.849,10.627,13.169,False
E6663,AM,0,21.207,4.258,12.258,8.545,7.067,10.204,False
E6669,AM,0,25.936,55.097,56.742,9.158,6.002,10.204,False
E6671,AM,0,40.865,10.0,25.0,7.869,12.753,10.204,True
E6680,AM,0,136.576,0.0,8.333,6.825,7.609,10.204,False
E6700,AC,0,16.057,137.548,25.839,9.786,10.886,11.218,False
E6707,AC,0,6.249,9.419,20.129,9.954,11.763,11.218,True
E6727,RR,0,16.273,16.0,48.0,12.586,14.169,19.539,False
E6730,RR,0,24.463,5.742,20.097,16.513,14.508,19.539,False
E6737,RR,0,10.062,3.677,25.774,18.855,18.825,19.539,False
E6750,PA,0,14.946,22.161,12.581,12.579,12.681,12.73,False
E6753,PA,0,55.081,8.645,4.484,11.397,12.94,12.73,True
E6755,PA,0,155.796,6.323,4.484,10.351,12.622,12.73,False
E6762,PA,0,8.341,2.323,5.645,12.354,13.257,12.73,True
E6765,PA,0,9.063,4.548,6.161,11.317,15.615,12.73,True
E6782,PA,0,43.585,9.6,8.8,10.91,13.151,12.73,True
E6788,PA,0,189.057,3.71,6.419,12.7,10.441,12.73,False
E6790,PA,0,10.371,9.677,6.419,11.318,10.955,12.73,False
E6808,PA,0,13.597,1.323,5.645,10.708,10.311,12.73,False
E6811,PA,0,11.003,3.161,4.484,10.576,9.373,12.73,False
E6819,PA,0,39.869,5.097,5.645,10.573,16.53,12.73,True
E6824,PA,0,25.489,21.0,28.419,12.251,12.573,12.73,False
E6830,PA,0,26.089,4.323,4.484,10.859,10.1,12.73,False
E6831,PA,0,8.334,3.323,4.484,11.687,10.694,12.73,False
E6840,PA,0,12.967,2.533,3.533,10.158,10.694,12.73,False
E6841,PA,0,8.458,2.333,7.667,10.906,11.01,12.73,False
E6860,PA,0,22.908,1.323,5.645,12.134,11.194,12.73,False
E6871,AM,0,12.399,4.167,17.467,10.115,9.327,10.204,False
E6882,PA,0,6.644,7.533,7.667,11.621,12.322,12.73,False
E6912,PA,0,21.603,7.4,7.2,11.567,11.015,12.73,False
E6927,PA,0,6.854,1.323,5.645,9.974,9.6,12.73,False
E6931,PA,0,10.096,0.71,6.419,12.051,12.007,12.73,False
E6933,PA,0,19.66,2.419,6.419,11.082,16.602,12.73,True
E6936,PA,0,7.616,1.867,4.8,11.895,10.819,12.73,False
E6938,PA,0,7.689,5.032,10.355,11.818,11.979,12.73,False
E6983,PA,0,26.639,3.548,5.645,11.161,10.298,12.73,False
E6988,PA,0,28.39,6.194,5.645,8.685,9.332,12.73,False
E6990,PA,0,21.032,1.968,5.645,10.639,19.693,12.73,True
E6991,PA,0,6.388,3.129,6.419,11.387,10.374,12.73,False
E6992,PA,0,17.73,3.419,6.419,10.668,11.852,12.73,False
E6998,PA,0,24.543,4.774,10.355,12.634,8.146,12.73,False
E7002,PA,0,7.62,4.0,7.667,10.941,11.107,12.73,False
E7003,PA,0,8.401,7.935,5.645,10.271,9.522,12.73,False
E7006,PA,0,19.61,4.645,5.645,8.538,8.215,12.73,False
E7009,PA,0,12.386,1.0,5.645,10.119,8.64,12.73,False
E7013,PA,0,11.095,5.774,9.387,12.478,14.57,12.73,True
E7015,PA,0,8.258,2.097,5.645,11.146,11.061,12.73,False
E7016,PA,0,22.903,21.0,26.571,11.947,11.309,12.73,False
E7017,PA,0,57.122,7.645,4.484,9.856,11.639,12.73,False
E7018,PA,0,21.68,4.6,3.533,8.594,9.334,12.73,False
E7019,PA,0,11.604,5.161,4.484,12.5,8.867,12.73,False
E7020,PA,0,98.325,4.645,4.484,11.733,16.715,12.73,True
